                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7615,                 58.794,                0.86188,                0.01534,                0.09382,                0.02223,                0.00727,                 2.3138,                 3.3239,                0.71329,               0.070566,              0.0032704,              0.0032704
                      1,                 2.7199,                 3.0185,                0.85833,                0.02084,                 0.1167,                 0.0155,                0.00533,                 2.5625,                 2.6358,                0.78817,               0.040239,              0.0062769,              0.0062769
                      2,                 2.5283,                 2.5609,                0.74059,                0.02338,                 0.0595,                0.02776,                0.00579,                 2.4493,                 2.5335,                0.75375,              0.0095823,              0.0089533,              0.0089533
                      3,                 2.7412,                 2.6971,                0.84554,                 0.0168,                0.00229,                0.00379,                0.00092,                 2.2049,                 3.3348,                0.79867,               0.008515,               0.008515,               0.008515
                      4,                 2.1243,                 2.1818,                0.83505,                0.00254,                0.04577,                0.00446,                0.00118,                 2.2902,                  2.815,                 1.0159,               0.008515,               0.008515,               0.008515
                      5,                 2.3268,                 1.8125,                0.85993,                0.00048,                0.05721,                0.00234,                0.00037,                 2.1072,                 4.4929,                 0.8703,                0.00802,                0.00802,                0.00802
                      6,                 2.1191,                 1.7374,                0.69446,                0.00768,                0.05034,                0.00449,                0.00115,                 2.7232,                 2.4675,                0.88047,               0.007525,               0.007525,               0.007525
                      7,                 2.2836,                 1.7857,                0.74557,                0.00521,                0.01602,                0.00053,                0.00014,                 2.6486,                 7.1792,                0.79613,                0.00703,                0.00703,                0.00703
                      8,                 1.7343,                 1.3781,                0.57905,                0.01306,                0.06407,                0.00777,                0.00218,                 2.3521,                 1.8716,                0.80788,               0.006535,               0.006535,               0.006535
                      9,                 2.2082,                 1.5639,                0.73433,                0.01277,                 0.0106,                0.00193,                0.00023,                 2.5789,                 5.4316,                0.86596,                0.00604,                0.00604,                0.00604
                     10,                  2.614,                 1.7397,                0.80697,                0.03786,                0.03661,                0.00952,                0.00263,                 2.8483,                  1.745,                0.84978,               0.005545,               0.005545,               0.005545
                     11,                 2.5717,                 1.7179,                0.80615,                0.00328,                0.00915,                0.00176,                0.00066,                 2.1659,                 2.5489,                0.76194,                0.00505,                0.00505,                0.00505
                     12,                 2.4901,                  1.669,                0.73678,                0.04059,                0.08238,                0.02621,                0.00725,                 2.8577,                 1.9634,                 0.9231,               0.004555,               0.004555,               0.004555
                     13,                 2.6814,                 1.7696,                0.87681,                0.09887,                0.04348,                0.00922,                0.00257,                 2.6647,                 4.1731,                0.86354,                0.00406,                0.00406,                0.00406
                     14,                 2.6612,                 1.7462,                0.81379,                0.17773,                0.07094,                0.04708,                0.01373,                 2.9539,                 1.7137,                0.87054,               0.003565,               0.003565,               0.003565
                     15,                  2.659,                  1.593,                 0.8087,                0.02484,                0.02746,                0.01453,                0.00419,                  2.587,                 3.3439,                 0.9448,                0.00307,                0.00307,                0.00307
                     16,                 2.6234,                  1.624,                0.83582,                0.16252,                0.08238,                0.04441,                0.01114,                 2.9275,                  1.678,                0.90993,               0.002575,               0.002575,               0.002575
                     17,                 2.2716,                 1.3527,                0.61991,                 0.2133,                 0.0778,                0.05004,                0.01385,                 2.7314,                 1.6105,                0.87065,                0.00208,                0.00208,                0.00208
                     18,                 2.3923,                 1.6098,                0.77236,                0.24904,                0.07094,                0.05352,                0.01382,                 2.8736,                 1.6286,                0.91189,               0.001585,               0.001585,               0.001585
                     19,                 2.7209,                 1.8278,                0.94904,                0.24814,                0.13501,                0.08764,                0.02502,                 2.7051,                 1.6775,                0.89988,                0.00109,                0.00109,                0.00109
